date,text,followers
2018-12-10 01:00:51,b'RT @Yo_Its_kacee: Sooooo me and @scotthamme98 are gonna get married',326
2018-12-10 01:00:51,b'RT @sierrabook_: attitude slowly rising \xf0\x9f\x98\xad\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f',1936
2018-12-10 01:00:51,b'SAY LESS! I need all eaters on they Lil Ceasers when I touch down. That mean hot &amp; ready ofn \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad I posted a twerk v\xe2\x80\xa6 https://t.co/hX6zL8XroI',523
2018-12-10 01:00:51,b'this the mf one \xf0\x9f\x98\xad https://t.co/lSGHrp3hHa',30
2018-12-10 01:00:51,"b'RT @timkellernyc: If Jesus rose from the dead, then you have to accept all that he said; if he didn\xe2\x80\x99t rise from the dead, then why worry ab\xe2\x80\xa6'",164
2018-12-10 01:00:51,b'@k_grugierhill THATS WHAT HAPPEN WHEN YOU TALK ABOUT THE BOYZ #CowboysNation',196
2018-12-10 01:00:51,b'Next up is \xe2\x80\x98The Maiden Heist\xe2\x80\x99 about aging security guards who decide to steal their favorite paintings. When it sta\xe2\x80\xa6 https://t.co/DKZBeShDex',1
2018-12-10 01:00:51,"b'@Zirksee Cooper Boss, Henry Offense, D.J. Reed Defense'",137
2018-12-10 01:00:51,"b'Huawei CFO seeks bail, saying she fears for her health behind bars https://t.co/sv7spohE9A'",1375
2018-12-10 01:00:51,b'@Feli1Alejandro Love is love \xf0\x9f\xa6\x94',327
2018-12-10 01:00:51,"b'RT @Bethbowman19: @amber_athey @politico She missed the grammar lesson that the masculine pronoun is used when gender is unknown.  Plus, Co\xe2\x80\xa6'",5659
2018-12-10 01:00:51,b'@allyhoma Sounds just like a eagles fan lmao losers',327
2018-12-10 01:00:51,b'RT @kristenRN202: #WhyIsItSo hard to change the toilet paper after it\xe2\x80\x99s gone? https://t.co/Bd6tDBZARc',1950
2018-12-10 01:00:51,b'RT @MiamiDolphins: THE MIRACLE AT HARD ROCK STADIUM\n\n\xf0\x9f\x93\xba \xc2\xbb @NFLonCBS\n\n#NEvsMIA #FinsUp https://t.co/Aoc1L5LcGG',139
2018-12-10 01:00:51,b'RT @CarmineSabia: I have been told no straight men agree with me. The likes and Retweets appear to disagree. https://t.co/WZ5le8CUJE',2107
2018-12-10 01:00:51,b'Oh HoW ThE TuRn HVe tAbLeS https://t.co/YRaHiwlQzs',221
2018-12-10 01:00:51,"b'@DanBidondi @davidhogg111 @NRA LOLOL! Former InfoWars ""reporter"" needs to get back in the groove.\nFlattering himsel\xe2\x80\xa6 https://t.co/kP6cXDf4Ih'",1196
2018-12-10 01:00:51,b'RT @chasebarnes_: hardest pill to swallow is knowing you got so much to offer for a person &amp; they couldn\xe2\x80\x99t give a fuck less',176
2018-12-10 01:00:51,"b'RT @DrSprankle: The virgin birth story is about an all-knowing, all-powerful deity impregnating a human teen. There is no definition of con\xe2\x80\xa6'",27
2018-12-10 01:00:51,b'I love you \xe2\x9d\xa4 \n\n@werndii https://t.co/eDTNIxBqVP',2088
2018-12-10 01:00:51,b'RT @CW_TheFlash: Enter #Elseworlds. https://t.co/no5kOImvis',146
2018-12-10 01:00:51,b'RT @alyssa_latat: this weekend was wild mayne',60
2018-12-10 01:00:51,b'RT @STOPFLEXIN: It\xe2\x80\x99s crazy how we all watched this for the last time one day and didn\xe2\x80\x99t even realize it.',628
2018-12-10 01:00:51,b'RT @SNSD13GENDARY: Honestly Taylor could fart on my face and i would thank you and sniff it all up',6915
2018-12-10 01:00:51,b'Kinda rude that I\xe2\x80\x99m not married to Miles teller but ok',544
2018-12-10 01:00:51,"b""RT @trtx84: @KeithLBrowns @witliftin No thanks, I'd rather nominate someone who's willing *and able* to serve 8 years.""",13054
2018-12-10 01:00:51,"b""Who's watching the 3-night Crossover of #TheFlash #Arrow #Supergirl? #Elseworlds https://t.co/16FuHkeQHx""",380
2018-12-10 01:00:51,"b""RT @pronemortalform: wow I cant believe stupid hicks buy into Fox News \n\nanyways here's a NowThis video saying China is forcing people to c\xe2\x80\xa6""",673
2018-12-10 01:00:51,b'I miss last year when we didn\xe2\x80\x99t have to get help from other teams to make it to the playoffs',204
2018-12-10 01:00:51,"b'Given the release date\xe2\x80\x99s proximity to the holidays, Beyonce (Self Titled) is a Christmas album.'",3061
